Year,PERIODO ,SUCRE,LA PAZ,COCHABAMBA,ORURO,TARIJA,SANTA CRUZ ,TRINIDAD,COBIJA,EL ALTO ,SUCRE
2008,Junio,11.9,11.2,14.2,3.9,11.1,18.2,21.1,22.4,4.8,11.9
2008,Julio,12.1,10.9,14.3,3.7,15.3,23.5,25.3,25.7,4.3,12.1
2008,Agosto,13,12,16.4,5,15.2,23.5,26,27,5.4,13
2008,Septiembre,13.8,12.7,18,7.7,15.6,23.5,25.2,27,6.9,13.8
2008,Octubre,15,13.4,19.4,10.7,19.5,25.3,26.8,26.5,8.5,15
2008,Noviembre,15.5,15.1,20.8,12.6,20.2,27.3,28.6,27.1,10.2,15.5
2008,Diciembre,14.6,13.7,19.3,12.4,19.3,27.1,27.2,25.8,9.3,14.6
2009,Enero ,14.3,13.6,18.9,12.8,19.6,26.1,26.6,26.1,9.3,14.3
2009,Febrero,14.5,13.9,19,12.7,20.1,26.4,26.7,25.9,9.5,14.5
2009,Marzo,14.3,13.4,18.4,11.8,19.2,26.5,27.1,26,8.6,14.3
2009,Abril,13.5,12.8,17.2,10.3,18.4,25.9,26.7,26,8,13.5
2009,Mayo,13.6,12.2,16.3,6.7,16.1,23,25.1,25.8,6.3,13.6
2009,Junio,11.7,11.4,13.6,2.6,12.1,20.2,22.4,23.2,4.4,11.7
2009,Julio,12,10.7,15,4.5,12.6,20.5,22.9,24.4,4.5,12
2009,Agosto,13.4,12.1,15.7,4.6,15.1,22.7,25.1,25.7,5.3,12.5
2009,Septiembre,15,13.2,18.3,8.4,15.9,24.1,25.6,26.2,7.9,15
2009,Octubre,16.3,14.5,20.1,11.2,20.5,25.7,27.4,27.3,9.7,16.3
2009,Noviembre,18.1,15.6,21.3,13.1,24,27.4,28,27.2,10.9,18.1
2009,Diciembre,16.1,14.4,20.4,13.2,21.7,26.3,26.7,25.9,10,16.1
2010,Enero ,16,14.1,19.6,13.4,21.4,26,27,26.4,9.8,16
2010,Febrero,16.6,14.3,20.4,13.9,21.9,26.5,27.5,26.6,10.5,16.6
2010,Marzo,16.3,14.6,20,13,21.5,27.6,27.9,27.2,9.6,16.3
2010,Abril,15.3,14.1,19.1,11,18.1,24.4,26.5,26.9,8.6,15.3
2010,Mayo,13.9,12.4,17.3,7.6,15.3,21.1,23.6,25.1,6.8,13.9
2010,Junio,13.3,11.8,15.6,6.2,14.3,21.9,24.8,25.6,6.1,13.3
2010,Julio,12.6,11.3,15.1,4.3,11.8,19.8,21.6,23.5,5.3,12.6
2010,Agosto,14,12.5,16.7,6.5,14.6,22.7,24.3,25.9,6.3,14
2010,Septiembre,15.4,13.2,18.4,9.1,18.9,25.7,26.8,27.9,7.9,15.4
2010,Octubre,15.2,13.2,19.8,10.4,18.6,27.1,26.9,27.3,9,15.2
2010,Noviembre,15.6,14.7,20.8,11.9,19.9,26.9,27,26.5,9.5,15.6
2010,Diciembre,17,14.2,20.9,13.9,22.3,27,27.1,26.8,10.3,17
2011,Enero ,16.7,14.2,19.8,13.8,21.2,27.3,26.7,26.4,10,16.7
2011,Febrero,14.2,12.1,17.7,12,19.7,25.9,26.5,26.2,8.5,14.2
2011,Marzo,14.4,13,18.4,12,19.5,26.2,26.8,26.3,8.5,14.4
2011,Abril,14.9,13.6,18,10.6,18.9,25.7,26.5,26.4,8.3,14.9
2011,Mayo,13.3,12.4,16.3,7.3,15.4,23.2,24.4,25.6,6.2,13.3
2011,Junio,13,11.6,15.2,5.9,14.4,21.6,24.4,25.6,5.3,13
2011,Julio,12.6,10.9,14.9,4.8,13.1,20.7,23.2,24.8,4.9,12.6
2011,Agosto,13.7,12.5,16.5,6.8,15.3,22.8,24.4,25.9,6.2,13.7
2011,Septiembre,14.3,12.6,17.8,9,18.3,26.8,27.7,28,7.3,12.5
2011,Octubre,14.9,14,19.5,10.7,20.4,27,27.5,27.2,8.8,14.9
2011,Noviembre,16.6,15,20.7,12.9,22.3,28.3,27.8,27.4,9.8,16.6
2011,Diciembre,16,13.6,19.8,12.1,20.9,27.7,27.3,27.3,9.3,16
2012,Enero ,15,12.9,18.5,12.1,20.5,27.6,27.1,26.2,8.6,15
2012,Febrero,14.9,,18.1,11.9,20.8,26.1,26.4,26,8.3,14.9
2012,Marzo,14.1,12.5,17.7,11.6,20,25.9,26.9,26.8,8.2,14.1
2012,Abril,14.6,12.3,17.9,10.7,19.2,24.8,26.7,26.8,7.5,14.6
2012,Mayo,13.1,12.2,15.9,6.5,16.2,22.7,24.9,25.9,5.9,13.1
2012,Junio,12.5,11.1,14.9,4.8,13.8,20.3,12.5,25.2,4.8,12.5
2012,Julio,12.2,10.8,14.7,5.3,13.5,19.7,22.9,25.1,5,12.2
2012,Agosto,13.8,11.8,16,6.9,17.2,23.8,24.4,26.9,5,13.8
2012,Septiembre,15.4,13.3,18.5,10.1,19.9,26.5,27.7,28,9,15.4
2012,Octubre,17.1,14.6,20.3,12,21.5,27.3,28.4,27.6,9.8,17.1
2012,Noviembre,16.7,14.8,21,13.1,21.2,26.7,27.8,27.6,10.2,16.7
2012,Diciembre,16.7,13.4,19.7,13.2,23.6,26.3,27.5,27.1,9.5,16.7
2013,Enero ,15,13.1,18.6,12.6,21,28.3,27.6,27.4,9.2,15
